Row Labels,ELECTRIC,Plug-in Hybrid,BEV [%],PHEV [%]
SE,97696,64719,0.3503,0.2320
IS,5546,3730,0.3358,0.2258
FI,14517,16155,0.1827,0.2034
MT,847,1150,0.1367,0.1856
DK,30418,23811,0.2117,0.1657
BE,37626,59290,0.1027,0.1618
DE,465341,358643,0.1825,0.1406
NL,71166,34251,0.2339,0.1126
PT,17957,16086,0.1155,0.1035
LU,6377,3566,0.1657,0.0927
NO,137744,16046,0.7939,0.0925
IE,15725,8805,0.1491,0.0835
FR,210367,128659,0.1284,0.0785
CH,40507,17812,0.1766,0.0776
AT,34141,13247,0.1594,0.0618
ES,31785,48117,0.0376,0.0569
GR,2801,5489,0.0266,0.0522
IT,48980,66370,0.0374,0.0506
HU,4666,4888,0.0420,0.0440
RO,11627,3840,0.0902,0.0298
BG,1080,834,0.0383,0.0295
LT,1346,659,0.0540,0.0264
HR,1358,961,0.0317,0.0224
CZ,3883,3563,0.0209,0.0192
PL,11177,7743,0.0269,0.0186
LV,1067,297,0.0654,0.0182
EE,691,368,0.0341,0.0182
CY,374,186,0.0327,0.0163
SI,2273,658,0.0501,0.0145
SK,1396,687,0.0178,0.0088
