Year:text,Battery electric cars:number,Plug-in electric cars:number,Total cars:number,Share of electric cars:number
2010,591,,11128785,0
2011,7179,,10498868,0.1
2012,13730,6225,9369664,0.2
2013,21454,31079,9573937,0.5
2014,31197,60370,10075476,0.9
2015,46857,84115,11150601,1.2
2016,54065,65011,12027051,1
2017,83491,88334,12574590,1.4
2018,132377,106502,12753440,1.9
2019,242966,137632,12991283,2.9
2020,536186,525311,9924123,10.7
2021,878092,862569,9694858,18.0
2022,1126682,873042,9252358,21.6
